Name,BSE Code,NSE Code,Industry,Current Price,Price to Earning,Market Capitalization,Dividend yield,Net Profit latest quarter,YOY Quarterly profit growth,Sales latest quarter,YOY Quarterly sales growth,Return on capital employed,Debt to equity,Price to Sales,Sales growth,EPS,Free Cash generated from EBIDTA,EVEBITDA,Price to book value,EV by FCF,Merged_data,URL
Sunflag Iron,500404,SUNFLAG,Steel - Medium / Small,237.1,29.76,4272.18,0.0,42.96,8.21,919.03,9.8,5.65,0.14,1.25,-2.1,7.97,42.75,12.45,0.83,43.35,SUNFLAG,https://www.screener.in/company/SUNFLAG/consolidated/
Sungarner Energ.,,SEL,Electric Equipment,492.7,109.85,114.24,0.0,0.8,,10.47,,25.91,0.6,6.36,3.75,4.49,-318.65,57.85,11.96,-46.6,SEL,https://www.screener.in/company/SEL/consolidated/
Sungold Capital,531433,,Finance & Investments,2.82,173.07,5.19,0.0,0.03,0.0,0.65,-2.99,2.66,0.34,2.32,11.44,0.02,-1114.29,16.1,0.23,-1.45,531433.0,https://www.screener.in/company/531433/consolidated/
Sunil Agro Foods,530953,,Food - Processing - Indian,150.35,51.26,45.1,0.0,0.16,23.08,59.53,8.63,8.37,2.28,0.2,9.62,2.93,56.02,13.32,2.66,50.77,530953.0,https://www.screener.in/company/530953/consolidated/
Sunil Healthcare,537253,,Miscellaneous,77.52,,79.5,0.0,0.15,-66.67,21.31,0.24,2.84,0.97,0.88,-18.37,-1.75,-794.1,15.26,1.17,35.6,537253.0,https://www.screener.in/company/537253/consolidated/
Sunil Industries,521232,,Textiles - Processing,68.5,14.1,28.77,0.0,0.93,-17.7,44.34,-43.89,9.1,1.19,0.2,-34.75,4.86,105.68,6.86,0.63,-8.82,521232.0,https://www.screener.in/company/521232/consolidated/
Sunita Tools Ltd,544001,,Engineering,738.9,85.7,415.63,0.0,1.84,,8.61,,27.03,0.31,15.93,88.51,8.62,-84.44,53.8,16.22,-81.17,544001.0,https://www.screener.in/company/544001/consolidated/
Sunraj Diamond,523425,,Trading,10.45,,5.57,0.0,-0.99,-120.0,0.44,193.33,-2.58,17.63,2.19,85.4,-1.37,80.0,-52.19,5.99,27.06,523425.0,https://www.screener.in/company/523425/consolidated/
Sunrest Lifescie,,SUNREST,Trading,62.0,115.7,26.61,0.0,1.99,,12.48,,15.43,0.87,0.9,22.63,0.54,-1828.4,33.78,,26.96,SUNREST,https://www.screener.in/company/SUNREST/consolidated/
Sunrise Efficie.,543515,,Trading,44.19,8.17,66.28,0.0,4.73,,61.1,,30.44,0.18,0.6,12.27,5.41,18.6,5.65,1.62,-6.55,543515.0,https://www.screener.in/company/543515/consolidated/
