Name,BSE Code,NSE Code,Industry,Current Price,Price to Earning,Market Capitalization,Dividend yield,Net Profit latest quarter,YOY Quarterly profit growth,Sales latest quarter,YOY Quarterly sales growth,Return on capital employed,Debt to equity,Price to Sales,Sales growth,EPS,Free Cash generated from EBIDTA,EVEBITDA,Price to book value,EV by FCF,Merged_data,URL
20 Microns,533022,20MICRONS,Mining / Minerals / Metals,276.85,16.23,975.72,0.45,17.91,19.79,230.55,20.99,21.7,0.34,1.19,15.74,16.72,35.02,9.07,2.77,20.04,20MICRONS,https://www.screener.in/company/20MICRONS/consolidated/
21st Cent. Mgmt.,526921,21STCENMGM,Finance & Investments,88.91,1.56,92.43,2.81,24.45,982.67,108.58,10650.5,78.43,0.0,0.63,-3538.35,56.57,-4.43,1.41,1.75,-19.52,21STCENMGM,https://www.screener.in/company/21STCENMGM/consolidated/
360 ONE,542772,360ONE,Finance & Investments,1022.0,40.01,37069.2,1.61,243.74,66.53,849.34,48.23,14.47,2.75,13.09,36.32,24.04,-29.28,22.82,10.63,-32.89,360ONE,https://www.screener.in/company/360ONE/consolidated/
3B Blackbio,532067,,Healthcare,1145.5,30.63,983.14,0.22,8.79,69.36,23.0,27.0,20.95,0.0,13.26,19.86,38.13,59.48,20.26,4.41,44.15,532067.0,https://www.screener.in/company/532067/consolidated/
3C IT Solutions,544190,,Computers - Software - Medium / Small,37.5,188.14,22.58,0.0,0.75,,12.47,,9.6,1.23,0.76,-51.82,0.28,580.36,10.42,,-9.96,544190.0,https://www.screener.in/company/544190/consolidated/
3i Infotech,532628,3IINFOLTD,Computers - Software - Medium / Small,34.2,,578.72,0.0,-99.08,-104.23,197.04,3.45,-6.65,0.29,0.71,11.63,-17.63,-166.67,-60.39,1.97,-20.87,3IINFOLTD,https://www.screener.in/company/3IINFOLTD/consolidated/
3M India,523395,3MINDIA,Diversified - Large,37980.0,79.9,42806.66,0.42,161.24,30.8,1032.72,4.69,33.04,0.01,10.9,5.18,476.05,76.7,53.98,18.05,114.22,3MINDIA,https://www.screener.in/company/3MINDIA/consolidated/
3P Land Hold.,516092,3PLAND,Finance & Investments,37.64,35.24,68.01,0.0,0.38,46.15,0.89,89.36,2.94,0.0,17.09,54.86,1.07,4.65,25.58,0.69,6779.0,3PLAND,https://www.screener.in/company/3PLAND/consolidated/
52 Weeks Enter.,531925,,Entertainment / Electronic Media Software,1.55,31.82,5.41,0.0,-0.03,0.0,0.0,,0.87,0.23,19.32,,0.05,58.82,53.06,0.34,-82.0,531925.0,https://www.screener.in/company/531925/consolidated/
5Paisa Capital,540776,5PAISA,Finance & Investments,474.8,25.83,1481.07,0.0,20.07,37.65,102.24,20.95,12.85,0.62,3.59,21.87,18.47,-102.06,1.53,2.74,15.0,5PAISA,https://www.screener.in/company/5PAISA/consolidated/
63 Moons Tech.,526881,63MOONS,Computers - Software - Medium / Small,384.25,8.42,1765.98,0.52,3.82,144.27,37.53,-66.37,6.7,0.0,3.74,62.76,48.29,19.39,1.99,0.53,9.56,63MOONS,https://www.screener.in/company/63MOONS/consolidated/
7NR Retail Ltd,540615,,Trading,7.23,,20.25,0.0,-0.23,-9.52,1.0,-90.38,-3.12,0.18,1.74,-75.63,-0.4,277.67,-33.39,0.71,-1.33,540615.0,https://www.screener.in/company/540615/consolidated/
7Seas Enter.,540874,,Computers - Software - Medium / Small,68.6,133.34,128.01,0.0,0.21,162.5,3.17,193.52,18.36,0.04,10.86,113.59,0.51,-748.8,77.56,12.59,-95.64,540874.0,https://www.screener.in/company/540874/consolidated/
A B B,500002,ABB,Electric Equipment,7460.75,108.08,158081.81,0.32,459.29,87.46,3080.36,27.75,30.69,0.01,14.22,23.37,68.73,59.54,73.49,26.59,258.09,ABB,https://www.screener.in/company/ABB/consolidated/
A B Infrabuild,,ABINFRA,Construction,60.1,25.53,298.96,0.0,4.41,,75.87,,31.33,0.26,1.63,49.33,2.3,-121.19,12.57,3.66,26.96,ABINFRA,https://www.screener.in/company/ABINFRA/consolidated/
A B M Internatl.,,ABMINTLLTD,Trading,59.5,,55.98,0.0,-0.21,-106.14,15.64,-32.21,-18.65,0.68,0.6,9.69,-3.64,239.3,-15.53,3.77,-5.27,ABMINTLLTD,https://www.screener.in/company/ABMINTLLTD/consolidated/
A F Enterprises,538351,,Trading,16.89,,61.97,0.0,0.33,113.99,5.35,-73.72,-1.67,0.2,7.29,-65.01,0.0,7.27,121.18,1.86,-4.34,538351.0,https://www.screener.in/company/538351/consolidated/
A G Universal,,AGUL,Trading,61.0,17.42,33.45,0.0,1.2,,38.29,,17.4,0.89,0.43,32.09,3.5,-84.56,9.06,1.92,-4.49,AGUL,https://www.screener.in/company/AGUL/consolidated/
A K Spintex,539300,,Textiles - Processing,193.1,13.86,97.17,0.0,0.49,-78.03,24.26,-19.99,28.05,0.18,0.87,-6.56,13.93,38.98,6.05,2.49,57.61,539300.0,https://www.screener.in/company/539300/consolidated/
A R C Finance,540135,,Finance & Investments,1.11,207.57,56.05,0.0,0.07,116.28,7.82,72.25,0.69,0.31,6.07,33.53,0.01,-123.91,108.82,1.1,-7.94,540135.0,https://www.screener.in/company/540135/consolidated/
A-1 Acid,542012,,Trading,344.9,360.58,396.64,0.43,0.75,-29.91,60.43,-15.62,4.08,0.22,1.92,-37.65,0.96,416.6,66.13,8.3,25.54,542012.0,https://www.screener.in/company/542012/consolidated/
A.K.Capital Serv,530499,,Finance & Investments,1031.0,7.42,680.46,1.55,30.21,22.05,146.73,26.2,9.46,3.0,1.31,27.56,138.95,106.52,10.41,0.74,88.34,530499.0,https://www.screener.in/company/530499/consolidated/
A2Z Infra Engg.,533292,A2ZINFRA,Engineering - Turnkey Services,18.81,,341.99,0.0,-0.46,53.34,97.97,8.0,-19.96,6.15,0.88,11.18,-0.32,-151.22,-10.57,10.29,10.15,A2ZINFRA,https://www.screener.in/company/A2ZINFRA/consolidated/
AA Plus Trade,543319,,Trading,25.31,116.17,61.57,0.0,0.24,,10.98,,4.9,0.1,3.09,22.24,0.21,-31.51,82.59,4.61,55.55,543319.0,https://www.screener.in/company/543319/consolidated/
AAA Technologies,543671,AAATECH,Computers - Software - Medium / Small,110.0,43.89,140.91,0.46,0.11,-86.25,9.4,-21.6,16.12,0.0,5.92,23.39,2.5,173.49,23.33,5.04,33.54,AAATECH,https://www.screener.in/company/AAATECH/consolidated/
Aadhar Hsg. Fin.,544176,AADHARHFC,Finance - Housing,406.9,23.14,17344.89,0.0,201.76,26.48,691.79,24.55,11.36,3.14,6.71,26.6,18.99,-125.58,15.27,,-25.76,AADHARHFC,https://www.screener.in/company/AADHARHFC/consolidated/
Aadi Industries,530027,,Plastics Products,6.0,,6.0,0.0,0.08,500.0,0.0,,-40.82,,,,-0.09,-90.0,-141.56,,-159.25,530027.0,https://www.screener.in/company/530027/consolidated/
Aakash Explor.,,AAKASH,Oil Drilling / Allied Services,13.22,21.55,133.85,0.0,3.51,231.13,30.89,56.72,13.27,0.31,1.45,-0.38,0.61,65.85,8.53,2.29,-26.94,AAKASH,https://www.screener.in/company/AAKASH/consolidated/
Aananda Lakshmi,539096,,Construction,19.0,1.12,6.65,0.0,-1.38,-6.12,0.06,,207.33,,3.17,900.0,11.66,78.45,4.71,,3.87,539096.0,https://www.screener.in/company/539096/consolidated/
Aanchal Ispat,538812,,Steel - Medium / Small,5.79,,12.07,0.0,1.21,107.29,47.26,-15.11,-3.93,5.0,0.11,-43.65,-3.0,-154.59,-26.49,0.72,44.14,538812.0,https://www.screener.in/company/538812/consolidated/
Aarey Drugs,524412,AAREYDRUGS,Pharmaceuticals - Indian - Bulk Drugs,49.14,26.54,124.19,0.0,2.15,497.22,210.35,29.14,4.44,0.24,0.31,-5.56,1.84,-46.88,13.48,0.94,-66.36,AAREYDRUGS,https://www.screener.in/company/AAREYDRUGS/consolidated/
Aarnav Fashions,539562,,Textiles - Products,47.73,28.16,201.6,0.0,1.78,673.91,88.36,12.32,6.71,0.61,0.55,1.98,1.7,146.62,10.53,1.13,7.57,539562.0,https://www.screener.in/company/539562/consolidated/
Aaron Industries,,AARON,Engineering,271.85,44.98,284.72,0.37,2.33,40.36,19.08,18.8,19.83,0.88,4.5,13.21,6.04,-281.91,27.86,7.94,,AARON,https://www.screener.in/company/AARON/consolidated/
Aartech Solonics,542580,AARTECH,Electric Equipment,222.6,180.36,234.47,0.15,-0.38,-22.58,9.98,252.65,9.37,0.14,7.16,50.95,1.23,27.87,65.28,7.99,-57.08,AARTECH,https://www.screener.in/company/AARTECH/consolidated/
Aarti Drugs,524348,AARTIDRUGS,Pharmaceuticals - Indian - Bulk Drugs,499.95,35.56,4594.95,0.2,26.91,-31.94,492.96,-16.68,13.49,0.4,2.12,-14.58,14.06,72.28,20.1,3.91,159.6,AARTIDRUGS,https://www.screener.in/company/AARTIDRUGS/consolidated/
Aarti Industries,524208,AARTIIND,Chemicals,705.0,60.89,25559.19,0.14,132.0,-11.41,1773.0,7.07,7.47,0.61,4.01,-3.72,11.49,-16.32,28.99,4.83,-3792.55,AARTIIND,https://www.screener.in/company/AARTIIND/consolidated/
Aarti Pharma,543748,AARTIPHARM,Pharmaceuticals - Indian - Bulk Drugs & Formln,614.55,24.74,5573.72,0.49,55.45,17.75,555.49,21.19,16.62,0.16,2.86,0.18,24.86,5.35,14.43,3.17,44.73,AARTIPHARM,https://www.screener.in/company/AARTIPHARM/consolidated/
Aarti Surfactant,543210,AARTISURF,Chemicals,618.0,27.0,522.41,0.0,2.33,-55.62,143.41,-3.56,14.84,0.45,0.89,-1.23,22.81,84.93,10.53,2.38,45.22,AARTISURF,https://www.screener.in/company/AARTISURF/consolidated/
Aarvee Denims,514274,AARVEEDEN,Textiles - Cotton/Blended,36.5,,85.21,0.0,-6.46,58.16,24.0,-51.92,-9.65,16.14,1.01,-67.52,-19.02,-302.67,-14.65,4.98,6.87,AARVEEDEN,https://www.screener.in/company/AARVEEDEN/consolidated/
Aarvi Encon,,AARVI,Miscellaneous,137.53,17.93,203.32,1.45,3.04,-11.88,103.11,-3.0,11.41,0.08,0.5,-6.96,7.67,17.46,12.79,1.74,93.47,AARVI,https://www.screener.in/company/AARVI/consolidated/
Aashka Hospitals,543346,,Healthcare,111.75,110.34,261.5,0.0,1.93,,12.07,,4.9,0.21,11.43,20.75,1.01,111.58,31.84,2.72,297.77,543346.0,https://www.screener.in/company/543346/consolidated/
AastamangalamFin,511764,,Finance & Investments,42.0,10.39,37.42,0.0,1.19,1587.5,2.21,92.17,9.32,1.07,5.32,109.85,4.04,-372.23,11.11,0.99,-2.75,511764.0,https://www.screener.in/company/511764/consolidated/
Aatmaj Health,,AATMAJ,Healthcare,27.4,70.37,61.92,0.0,-1.41,,7.17,,10.01,0.11,3.93,-33.7,0.39,-611.2,16.64,1.25,13.01,AATMAJ,https://www.screener.in/company/AATMAJ/consolidated/
AAVAS Financiers,541988,AAVAS,Finance - Housing,1629.95,25.43,12894.37,0.0,126.1,14.94,542.39,16.19,9.91,3.29,6.16,21.53,64.08,-132.62,15.1,3.42,-12.0,AAVAS,https://www.screener.in/company/AAVAS/consolidated/
Aayush Art,540718,,Trading,159.0,795.75,206.9,0.0,0.18,175.0,0.17,-89.25,1.57,0.0,28.23,-44.6,0.21,104.35,790.35,9.05,60.8,540718.0,https://www.screener.in/company/540718/consolidated/
Aayush Wellness,539528,,Trading,30.8,175.35,99.95,0.0,0.17,156.67,0.0,-100.0,12.65,0.0,166.58,-92.59,0.18,-96.61,169.32,20.35,20.81,539528.0,https://www.screener.in/company/539528/consolidated/
AB Cotspin,,ABCOTS,Textiles - Cotton/Blended,210.0,32.26,216.14,0.0,4.72,,144.75,,12.65,1.78,0.85,51.25,6.51,-206.58,12.22,3.16,-5.25,ABCOTS,https://www.screener.in/company/ABCOTS/consolidated/
Aban Offshore,523204,ABAN,Oil Drilling / Allied Services,65.1,,380.07,0.0,-237.67,28.68,128.43,22.82,,,0.9,20.55,-209.42,79.13,-4333.64,,10.25,ABAN,https://www.screener.in/company/ABAN/consolidated/
ABans Enterprise,512165,,Trading,125.9,19.16,175.63,0.08,-1.52,-200.76,565.61,64.8,10.66,0.84,0.1,-5.16,6.65,173.18,9.08,0.95,-12.35,512165.0,https://www.screener.in/company/512165/consolidated/
Abans Holdings,543712,AHL,Finance & Investments,562.5,34.45,2817.01,0.0,21.17,-7.19,252.32,-55.91,9.23,1.0,2.04,18.62,16.3,28.29,22.7,3.03,16.37,AHL,https://www.screener.in/company/AHL/consolidated/
Abate As Indust,531658,,Trading,26.07,,13.08,0.0,-0.16,5.88,0.0,,-191.58,62.0,,-100.0,-1.81,-91.21,-15.63,,-34.68,531658.0,https://www.screener.in/company/531658/consolidated/
Abbott India,500488,ABBOTINDIA,Pharmaceuticals - Multinational,27948.25,49.41,59345.46,1.46,287.06,24.04,1438.63,7.11,46.02,0.02,10.15,9.35,565.3,71.45,33.68,16.05,66.64,ABBOTINDIA,https://www.screener.in/company/ABBOTINDIA/consolidated/
ABC Gas (Int.),513119,,Trading,96.15,,19.04,0.0,0.63,56.1,0.0,,-13.53,0.0,1904.0,-50.0,1.06,-596.43,-28.94,4.81,-25.15,513119.0,https://www.screener.in/company/513119/consolidated/
ABC India,520123,,Miscellaneous,106.6,26.25,57.75,0.47,0.16,-84.38,39.67,7.22,8.1,0.46,0.35,13.38,4.21,23.31,11.79,1.28,17.95,520123.0,https://www.screener.in/company/520123/consolidated/
Abhinav Capital,532057,,Finance & Investments,187.5,14.02,129.83,0.0,0.82,-48.75,2.31,-1.28,16.26,0.49,8.49,16.45,13.37,246.27,8.17,1.68,12.48,532057.0,https://www.screener.in/company/532057/consolidated/
Abhinav Leasing,538952,,Finance & Investments,2.07,60.88,10.35,0.0,-1.05,-3600.0,13.77,166.86,9.83,5.14,0.31,-21.67,0.03,-889.71,18.74,1.77,-5.52,538952.0,https://www.screener.in/company/538952/consolidated/
Abhishek Finle.,538935,,Finance & Investments,32.34,65.66,13.79,0.0,0.04,33.33,0.2,81.82,6.19,0.0,13.26,160.0,0.4,150.0,38.06,3.12,45.38,538935.0,https://www.screener.in/company/538935/consolidated/
Abhishek Infra.,539544,,Construction,6.41,,3.23,0.0,-0.07,-123.33,0.0,-100.0,-4.86,0.3,,-100.0,-0.51,180.77,-16.77,0.79,-4.11,539544.0,https://www.screener.in/company/539544/consolidated/
Abhishek Integr.,,AILIMITED,Construction,96.8,75.7,58.29,0.0,0.5,,14.59,,14.25,0.61,2.29,12.86,1.28,6.15,32.97,6.32,-28.65,AILIMITED,https://www.screener.in/company/AILIMITED/consolidated/
Abirami Fin.,511756,,Finance & Investments,57.0,20.52,30.78,4.39,0.22,29.41,0.0,,5.12,0.0,,,2.78,-39.02,9.08,1.48,0.73,511756.0,https://www.screener.in/company/511756/consolidated/
ABM Knowledge,531161,,Computers - Software - Medium / Small,150.0,20.16,300.04,0.83,5.84,85.99,23.1,46.2,8.87,0.0,3.81,19.8,7.44,16.38,13.96,1.35,86.55,531161.0,https://www.screener.in/company/531161/consolidated/
ABS Marine,,ABSMARINE,Shipping,297.35,30.1,730.0,0.0,,,,,20.01,0.39,5.4,21.13,,2.82,16.79,,-248.74,ABSMARINE,https://www.screener.in/company/ABSMARINE/consolidated/
ACC,500410,ACC,Cement - North India,2379.25,22.14,44664.61,0.32,361.4,-22.47,5154.89,-0.89,17.27,0.02,2.24,7.54,118.84,64.48,12.44,2.74,-13.42,ACC,https://www.screener.in/company/ACC/consolidated/
Accedere,531533,,Computers - Software - Medium / Small,82.68,,41.59,0.0,-0.02,28.0,0.79,51.92,-1.57,0.07,16.25,67.32,-0.14,-114.29,282.14,10.26,164.58,531533.0,https://www.screener.in/company/531533/consolidated/
Accel,517494,,Computers - Software - Medium / Small,22.9,36.32,131.84,1.31,0.86,269.12,49.87,1.16,8.99,1.13,0.79,6.67,0.6,121.06,10.33,2.02,21.05,517494.0,https://www.screener.in/company/517494/consolidated/
AccelerateBS Ind,543938,,Computers - Software - Medium / Small,335.0,599.83,71.98,0.0,0.59,,4.07,,70.92,0.14,10.62,142.14,0.14,-65.17,36.42,18.41,-123.32,543938.0,https://www.screener.in/company/543938/consolidated/
Accelya Solution,532268,ACCELYA,Computers - Software - Medium / Small,1755.05,22.44,2621.31,3.7,31.19,-2.87,128.11,4.58,57.11,0.12,5.13,8.9,62.88,83.46,12.61,9.26,19.99,ACCELYA,https://www.screener.in/company/ACCELYA/consolidated/
Accent Microcell,,ACCENTMIC,Pharmaceuticals - Indian - Bulk Drugs & Formln,275.7,18.71,580.15,0.0,16.07,,138.63,,57.75,0.08,2.36,20.23,14.34,-5.14,12.07,3.54,149.13,ACCENTMIC,https://www.screener.in/company/ACCENTMIC/consolidated/
Accord Synergy,,ACCORD,Telecommunications - Service Provider,23.8,21.19,8.26,0.0,0.19,,16.32,,2.57,0.0,0.26,58.21,1.12,97.3,10.97,0.56,-2.13,ACCORD,https://www.screener.in/company/ACCORD/consolidated/
Accuracy Shippi.,,ACCURACY,Miscellaneous,11.91,358.64,179.32,0.21,9.18,60.77,171.35,-3.49,5.29,0.94,0.25,-19.25,0.03,159.54,11.22,1.54,13.31,ACCURACY,https://www.screener.in/company/ACCURACY/consolidated/
ACE EduTremd Ltd,530093,,Miscellaneous,3.38,,3.1,0.0,-0.02,-100.0,0.0,,-1.13,0.0,,,-0.17,-20.0,-61.6,0.35,-61.6,530093.0,https://www.screener.in/company/530093/consolidated/
Ace Integrated,,ACEINTEG,Computers - Software - Medium / Small,33.15,82.48,33.82,0.0,0.74,208.33,3.32,50.23,2.06,0.01,3.7,32.27,0.4,66.67,57.04,1.78,31.11,ACEINTEG,https://www.screener.in/company/ACEINTEG/consolidated/
Ace Men,539661,,Trading,58.8,151.81,18.22,0.0,0.01,150.0,0.0,,3.66,0.0,,-100.0,0.39,5.56,101.06,4.71,1819.0,539661.0,https://www.screener.in/company/539661/consolidated/
Ace Soft. Exp.,531525,,Computers - Software - Medium / Small,332.25,35.86,212.64,0.0,1.11,366.67,5.31,179.47,21.01,0.06,7.84,175.99,11.44,-51.7,25.8,7.07,85.15,531525.0,https://www.screener.in/company/531525/consolidated/
Achyut Healthcar,543499,,Trading,55.2,162.95,92.88,0.0,0.31,,4.65,,5.09,0.0,15.13,127.41,0.34,-860.81,123.35,3.02,-24.67,543499.0,https://www.screener.in/company/543499/consolidated/
ACI Infocom,517356,,Computers - Software - Medium / Small,2.3,282.31,25.41,0.0,0.14,600.0,0.27,92.86,1.07,0.0,27.32,,0.01,2383.33,141.06,1.5,-9.73,517356.0,https://www.screener.in/company/517356/consolidated/
Acknit Indus.,530043,,Textiles - Products,309.9,11.02,94.2,0.48,3.07,35.84,68.45,29.2,11.04,0.74,0.43,-7.47,28.13,-93.57,8.87,1.2,6.78,530043.0,https://www.screener.in/company/530043/consolidated/
Acme Resources,539391,,Finance & Investments,36.58,55.07,94.17,0.0,-1.44,-115.24,1.84,-91.06,2.12,0.09,9.63,-66.12,0.66,-35.27,36.17,0.74,-12.85,539391.0,https://www.screener.in/company/539391/consolidated/
Acrow India,513149,,Diversified - Medium / Small,690.0,50.76,44.16,0.0,0.14,-50.0,0.0,,2.68,0.0,,,13.59,-140.0,55.89,1.9,-40.14,513149.0,https://www.screener.in/company/513149/consolidated/
Action Const.Eq.,532762,ACE,Engineering,1277.85,44.12,15211.38,0.16,84.18,24.62,734.26,12.68,42.25,0.0,5.08,29.51,28.95,55.43,29.7,12.37,63.5,ACE,https://www.screener.in/company/ACE/consolidated/
Active Clothing,541144,,Textiles - Products,91.0,29.05,141.17,0.0,1.34,243.59,37.93,-13.62,9.36,1.24,0.66,5.92,3.13,9.17,10.68,2.04,-70.2,541144.0,https://www.screener.in/company/541144/consolidated/
AD Manum Finance,511359,,Finance & Investments,74.95,6.49,56.21,0.0,1.77,115.85,2.8,54.7,15.67,0.11,4.68,35.21,11.55,11.02,4.92,0.79,-332.37,511359.0,https://www.screener.in/company/511359/consolidated/
Adani Energy Sol,539254,ADANIENSOL,Power Generation And Supply,1159.1,119.25,129378.79,0.0,-1190.66,-29.88,5378.55,46.8,9.0,2.93,7.06,32.53,1.24,12.53,24.49,10.23,-177.49,ADANIENSOL,https://www.screener.in/company/ADANIENSOL/consolidated/
Adani Enterp.,512599,ADANIENT,Trading,3035.95,83.3,346126.01,0.04,1772.26,115.93,25472.4,12.49,9.87,1.67,3.39,-12.16,35.27,-104.88,27.62,8.85,136.07,ADANIENT,https://www.screener.in/company/ADANIENT/consolidated/
Adani Green,541450,ADANIGREEN,Power Generation And Supply,1768.6,208.14,280293.52,0.0,629.0,32.42,2835.0,31.13,9.81,8.65,28.33,18.98,7.73,-115.9,37.64,37.38,85.66,ADANIGREEN,https://www.screener.in/company/ADANIGREEN/consolidated/
Adani Ports,532921,ADANIPORTS,Miscellaneous,1493.65,32.35,322679.63,0.4,3107.23,52.8,7559.59,21.0,12.93,0.94,11.51,27.14,42.17,53.35,19.97,6.11,123.05,ADANIPORTS,https://www.screener.in/company/ADANIPORTS/consolidated/
Adani Power,533096,ADANIPOWER,Power Generation And Supply,690.8,16.67,266419.01,0.0,3912.79,-55.33,14955.63,35.89,32.25,0.8,4.91,50.6,41.44,57.23,12.14,6.18,56.64,ADANIPOWER,https://www.screener.in/company/ADANIPOWER/consolidated/
Adani Total Gas,542066,ATGL,Miscellaneous,858.1,137.01,94416.26,0.03,171.84,14.39,1145.49,8.47,21.2,0.43,20.69,3.92,6.27,14.98,78.82,26.36,-296.16,ATGL,https://www.screener.in/company/ATGL/consolidated/
Adani Wilmar,543458,AWL,Solvent Extraction,382.45,72.17,49725.68,0.0,323.55,941.7,13750.04,11.08,10.41,0.29,0.98,-5.61,4.93,-34.3,25.84,6.01,-321.02,AWL,https://www.screener.in/company/AWL/consolidated/
Adarsh Plant,526711,,Packaging,31.2,128.84,30.92,0.0,-0.17,-312.5,4.06,6.01,11.7,3.1,1.64,16.12,0.24,111.63,69.04,21.18,39.12,526711.0,https://www.screener.in/company/526711/consolidated/
ADC India,523411,,Telecommunications - Equipment,1901.8,42.28,874.83,0.26,6.94,926.19,44.11,27.78,45.23,0.0,4.89,25.07,44.98,69.94,29.66,12.35,-195.77,523411.0,https://www.screener.in/company/523411/consolidated/
Adcon Capital,539506,,Finance & Investments,0.8,17.63,15.86,0.0,0.22,152.38,0.36,9.09,3.33,0.0,9.44,200.0,0.05,-161.9,15.04,0.45,-0.6,539506.0,https://www.screener.in/company/539506/consolidated/
Add-Shop E-Reta.,541865,,Trading,13.95,12.5,39.5,0.0,-6.99,-384.15,58.38,24.5,6.15,0.12,0.19,2.9,1.12,-405.78,6.74,0.36,-1.14,541865.0,https://www.screener.in/company/541865/consolidated/
Addi Industries,507852,,Textiles - Products,47.1,10.89,50.85,2.65,2.21,190.79,0.0,,8.38,0.0,,,4.33,-139.53,-1.0,0.66,-0.49,507852.0,https://www.screener.in/company/507852/consolidated/
Addictive Learn,,LAWSIKHO,Miscellaneous,271.0,66.03,431.15,0.0,2.79,,32.98,,440.99,0.0,6.74,90.75,4.1,-35.85,30.39,6.37,310.28,LAWSIKHO,https://www.screener.in/company/LAWSIKHO/consolidated/
Adeshwar Meditex,543309,,Healthcare,25.81,18.53,37.25,0.0,1.28,,33.59,,9.55,0.4,0.47,-3.05,1.39,81.53,9.41,1.07,10.57,543309.0,https://www.screener.in/company/543309/consolidated/
ADF Foods,519183,ADFFOODS,Food - Processing - Indian,223.45,33.36,2450.29,0.53,14.39,-2.31,121.62,8.18,19.54,0.13,4.63,13.75,6.85,54.64,20.98,5.57,101.73,ADFFOODS,https://www.screener.in/company/ADFFOODS/consolidated/
Adhbhut Infra.,539189,,Construction,25.73,32.53,28.3,0.0,0.07,-82.05,0.4,-69.7,,,11.05,20.75,0.79,23.48,12.96,,614.4,539189.0,https://www.screener.in/company/539189/consolidated/
Adinath Exim Res,532056,,Finance & Investments,23.48,18.12,10.15,0.0,0.15,-57.14,0.26,4.0,4.04,0.0,9.85,3.0,1.3,-14.86,13.69,0.52,19.11,532056.0,https://www.screener.in/company/532056/consolidated/
Adinath Textiles,514113,,Textiles - Spinning - Synthetic / Blended,31.52,44.73,21.47,0.0,0.15,-44.44,0.0,,25.61,0.0,,,0.7,-219.12,28.74,7.43,-20.45,514113.0,https://www.screener.in/company/514113/consolidated/
Adit.Birla Money,532974,BIRLAMONEY,Finance & Investments,156.35,14.75,883.25,0.0,16.36,73.31,117.86,50.24,12.61,8.6,2.06,53.74,10.6,-249.47,7.33,5.43,-16.59,BIRLAMONEY,https://www.screener.in/company/BIRLAMONEY/consolidated/
Aditya AMC,543374,ABSLAMC,Finance & Investments,656.2,22.75,18916.13,2.06,235.71,27.71,386.62,24.25,34.89,0.02,13.24,15.84,28.86,60.7,16.95,5.97,45.16,ABSLAMC,https://www.screener.in/company/ABSLAMC/consolidated/
Aditya Bir. Fas.,535755,ABFRL,Textiles - Products,322.7,,32794.49,0.0,-266.35,-22.8,3406.65,18.3,0.4,2.34,2.34,12.71,-6.18,1258.16,24.54,8.13,-1208.31,ABFRL,https://www.screener.in/company/ABFRL/consolidated/
Aditya Birla Cap,540691,ABCAPITAL,Finance & Investments,207.3,15.65,53941.14,0.0,779.24,16.97,8832.43,25.37,9.95,4.11,1.49,25.87,13.25,-189.39,12.21,2.01,-6.61,ABCAPITAL,https://www.screener.in/company/ABCAPITAL/consolidated/
Aditya Consumer,540146,,Trading,76.0,92.68,111.22,0.0,-3.23,-59.48,47.01,1.3,5.49,0.26,1.19,-3.6,-2.1,254.01,26.13,4.54,18.43,540146.0,https://www.screener.in/company/540146/consolidated/
Aditya Ispat,513513,,Steel - Medium / Small,11.04,,5.9,0.0,-2.33,-1470.59,18.84,-2.53,0.72,3.92,0.1,16.28,-4.32,1800.0,21.55,0.69,17.83,513513.0,https://www.screener.in/company/513513/consolidated/
Aditya Spinners,521141,,Textiles - Spinning - Synthetic / Blended,23.93,42.17,40.06,0.0,-0.59,-290.32,15.54,-4.13,5.24,0.32,0.66,-9.72,0.57,320.88,11.05,0.82,-429.08,521141.0,https://www.screener.in/company/521141/consolidated/
Aditya Vision,540205,,Trading,4174.15,57.92,5370.59,0.22,53.08,41.85,888.78,38.61,21.75,0.65,2.7,30.55,73.82,-23.84,28.52,10.99,-456.2,540205.0,https://www.screener.in/company/540205/consolidated/
Adjia Tech,543269,,Computers - Software - Medium / Small,45.1,56.71,3.97,,0.1,,0.22,,3.65,0.02,12.03,120.0,0.8,12.5,14.59,1.8,394.0,543269.0,https://www.screener.in/company/543269/consolidated/
Adline Chem Lab,524604,,Pharmaceuticals - Indian - Formulations,15.3,,8.95,0.0,-0.1,-25.0,0.0,,,,,,-0.29,11.76,-61.12,,1039.0,524604.0,https://www.screener.in/company/524604/consolidated/
Ador Fontech,530431,,Electrodes - Welding Equipment,140.0,21.59,490.0,4.29,4.17,-19.96,44.02,-12.35,24.37,0.0,2.4,-4.94,6.49,58.8,13.09,3.71,30.01,530431.0,https://www.screener.in/company/530431/consolidated/
Ador Multi Prod.,523120,,Personal Care - Indian,34.89,,16.31,0.0,1.98,60.42,0.82,-68.58,-37.64,0.0,2.42,-44.7,-8.6,19.62,-7.66,1.48,-2.36,523120.0,https://www.screener.in/company/523120/consolidated/
Ador Welding,517041,ADORWELD,Electrodes - Welding Equipment,1375.1,27.92,1873.6,1.34,15.14,34.7,229.76,21.16,24.22,0.12,2.03,14.28,49.34,-6.38,17.53,5.16,12765.8,ADORWELD,https://www.screener.in/company/ADORWELD/consolidated/
Adroit Info.,532172,ADROITINFO,Computers - Software - Medium / Small,17.07,21.85,65.54,0.0,1.83,198.39,7.71,69.82,13.04,0.1,2.64,10.73,0.55,-56.05,11.92,2.62,-8.79,ADROITINFO,https://www.screener.in/company/ADROITINFO/consolidated/
